date,time,network,video,caption,hashtags
2026-09-30,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f82aF EN - How many days are.mp4,"€20 prize this Saturday. How many days are in a leap year? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #maths"
2026-09-30,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab e05 EN - How many teeth does.mp4,"€20 prize this Saturday. How many teeth does an adult have (without wisdom teeth)? That's the impossible one; first an easy one and a hard one. One miss and you're out. How far did you get? Comment 1, 2 or 3 👇 Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #space #animals"
2026-09-30,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f59a EN - Which is the smallest.mp4,"€20 prize this Saturday. Which is the smallest ocean? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #geography"
2026-10-01,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f50aF EN - What is the official.mp4,"€20 prize this Saturday. What is the official language of Brazil? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #languages"
2026-10-01,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f28aF EN - How many hearts does.mp4,"€20 prize this Saturday. How many hearts does an octopus have? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-10-01,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f94aF EN - Which instrument has keys.mp4,"€20 prize this Saturday. Which instrument has keys and strings struck by hammers? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #music"
2026-10-02,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f42aF EN - Which metal is liquid.mp4,"€20 prize this Saturday. Which metal is liquid at room temperature? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #science"
2026-10-02,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f97a EN - What kind of animal.mp4,"€20 prize this Saturday. What kind of animal is a whale? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #animals"
2026-10-02,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f48aF EN - How many keys does.mp4,"€20 prize this Saturday. How many keys does a standard piano have? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #music"
2026-10-03,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f21a EN - What is the largest.mp4,"€20 prize this Saturday. What is the largest country in Africa? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-10-03,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f67a EN - Which animal lays the.mp4,"€20 prize this Saturday. Which animal lays the largest eggs? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #animals"
2026-10-03,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f84aF EN - What is the largest.mp4,"€20 prize this Saturday. What is the largest organ of the human body? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #science"
2026-10-04,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f68aF EN - How many strings does.mp4,"€20 prize this Saturday. How many strings does a classical guitar have? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #music"
2026-10-04,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f69a EN - Which sea borders Valencia.mp4,"€20 prize this Saturday. Which sea borders Valencia? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #geography"
2026-10-04,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f36aF EN - In which country was.mp4,"€20 prize this Saturday. In which country was tango born? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #music"
2026-10-05,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f89a EN - Which insect makes honey.mp4,"€20 prize this Saturday. Which insect makes honey? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #animals"
2026-10-05,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f85a EN - In which city is.mp4,"€20 prize this Saturday. In which city is the Colosseum? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #history"
2026-10-05,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f20aF EN - Which is the fastest.mp4,"€20 prize this Saturday. Which is the fastest animal in the world? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-10-06,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f49a EN - Which country is shaped.mp4,"€20 prize this Saturday. Which country is shaped like a boot? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #geography"
2026-10-06,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f35a EN - What is the largest.mp4,"€20 prize this Saturday. What is the largest land animal? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #animals"
2026-10-06,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f63a EN - Which planet is known.mp4,"€20 prize this Saturday. Which planet is known as the red planet? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #space"
2026-10-07,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f22aF EN - How many Earths fit.mp4,"€20 prize this Saturday. How many Earths fit inside the Sun? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-10-07,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f23a EN - Which continent is Turkey.mp4,"€20 prize this Saturday. Which continent is Turkey in? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-10-07,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f64aF EN - How many years are.mp4,"€20 prize this Saturday. How many years are in a century? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #maths"
2026-10-08,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f26aF EN - How many teeth does.mp4,"€20 prize this Saturday. How many teeth does an adult have (without wisdom teeth)? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-10-09,17:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f65a EN - In which country is.mp4,"€20 prize this Saturday. In which country is Machu Picchu? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #geography"
2026-10-09,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f09aC EN - What is the capital.mp4,"€20 prize this Saturday. What is the capital of Canada? A, B, C or D? Drop your answer in the comments 👇 Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-10-10,17:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f03aC EN - How many sides does.mp4,"€20 prize this Saturday. How many sides does a hexagon have? A, B, C or D? Drop your answer in the comments 👇 Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-10-10,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f25a EN - What is the most.mp4,"€20 prize this Saturday. What is the most abundant metal in the Earth's crust? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-10-11,13:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f24aF EN - Which language has the.mp4,"€20 prize this Saturday. Which language has the most native speakers? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-10-11,17:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f66aF EN - Which chemical element has.mp4,"€20 prize this Saturday. Which chemical element has the symbol Au? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #science"
2026-10-11,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f92aF EN - How many legs does.mp4,"€20 prize this Saturday. How many legs does a spider have? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #animals"
2026-10-12,13:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f41a EN - What is the currency.mp4,"€20 prize this Saturday. What is the currency of Japan? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #geography"
2026-10-12,17:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f58aF EN - Which instrument measures atmospheric.mp4,"€20 prize this Saturday. Which instrument measures atmospheric pressure? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #science"
2026-10-12,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f39a EN - Which organ produces insulin.mp4,"€20 prize this Saturday. Which organ produces insulin? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #science"
2026-10-13,13:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f18aC EN - Which of these countries.mp4,"€20 prize this Saturday. Which of these countries does NOT border Germany? A, B, C or D? Drop your answer in the comments 👇 Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-10-13,17:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f98aF EN - In which country was.mp4,"€20 prize this Saturday. In which country was paper invented? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #history"
2026-10-13,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f47a EN - Which vitamin does skin.mp4,"€20 prize this Saturday. Which vitamin does skin produce with sunlight? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #science"
2026-10-14,13:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f08a EN - What is the capital.mp4,"€20 prize this Saturday. What is the capital of Australia? This one's in the game. Drop your answer in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-10-14,17:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f56aF EN - What is the capital.mp4,"€20 prize this Saturday. What is the capital of Turkey? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #geography"
2026-10-14,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f60aF EN - Who wrote One Hundred.mp4,"€20 prize this Saturday. Who wrote 'One Hundred Years of Solitude'? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #books"
2026-10-15,13:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f46aF EN - What is the driest.mp4,"€20 prize this Saturday. What is the driest desert in the world? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #geography"
2026-10-16,13:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f37a EN - What is the smallest.mp4,"€20 prize this Saturday. What is the smallest country in the world? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #geography"
2026-10-16,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f10aF EN - How many years are.mp4,"€20 prize this Saturday. How many years are in a lustrum? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz"
2026-10-17,13:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f86aF EN - How many seconds are.mp4,"€20 prize this Saturday. How many seconds are in a quarter of an hour? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #maths"
2026-10-17,17:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f34aF EN - Who painted The Starry.mp4,"€20 prize this Saturday. Who painted 'The Starry Night'? Did you know it? Say so in the comments. Those who last longest get paid. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #art"
2026-10-11,16:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Vibo Resumen EN - How It Went.mp4,"How Saturday's game went. Real numbers. Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #results"
2026-10-11,20:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Vibo Repeticion EN - The Whole Game.mp4,"Saturday's game, question by question. How far would you have got? Saturday 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #results #quizshow"
